"partida","codigo","marca","modelo","cantidad","precio_unitario_usd","total_linea_usd","imagen"
"24","EQU-160","TRIOL","AT24-7K5-4-UH-01","1","593.940","593.94","assets/img/catalogo_variadores/variador-triol-at24-7k5-4-uh-01.png"
"25","EQU-161","TRIOL","AT24-90K-4-UC10","4","6,479.330","25,917.32","assets/img/catalogo_variadores/variador-triol-at24-90k-4-uc10.png"
"26","EQU-162","TRIOL","AT24-90K-4-UH10","2","9,719.010","19,438.02","assets/img/catalogo_variadores/variador-triol-at24-90k-4-uh10.png"
"27","EQU-163","TRIOL","AT24-M11-4-SD10","1","12,380.000","12,380.00","assets/img/catalogo_variadores/variador-triol-at24-m11-4-sd10.png"
"28","EQU-164","TRIOL","AT24-M11-4-UC10","6","14,646.000","87,876.00","assets/img/catalogo_variadores/variador-triol-at24-m11-4-uc10.png"
"29","EQU-165","TRIOL","AT24-M11-4-UH10","8","23,858.800","190,870.40","assets/img/catalogo_variadores/variador-triol-at24-m11-4-uh10.png"
"30","EQU-166","TRIOL","AT24-M13-4-SD10","1","12,964.070","12,964.07","assets/img/catalogo_variadores/variador-triol-at24-m13-4-sd10.png"
"31","EQU-167","TRIOL","AT24-M13-4-UC10","3","17,386.220","52,158.66","assets/img/catalogo_variadores/variador-triol-at24-m13-4-uc10.png"
"32","EQU-168","TRIOL","AT24-M13-4-UH10","3","26,457.270","79,371.81","assets/img/catalogo_variadores/variador-triol-at24-m13-4-uh10.png"
"33","EQU-169","TRIOL","AT24-M16-4-SD10","1","13,890.070","13,890.07","assets/img/catalogo_variadores/variador-triol-at24-m16-4-sd10.png"
"34","EQU-170","TRIOL","AT24-M16-4-UC10","3","21,260.320","63,780.96","assets/img/catalogo_variadores/variador-triol-at24-m16-4-uc10.png"
"35","EQU-171","TRIOL","AT24-M16-4-UH10","3","32,126.700","96,380.10","assets/img/catalogo_variadores/variador-triol-at24-m16-4-uh10.png"
"36","EQU-172","TRIOL","AT24-M20-4-SD10","1","30,236.900","30,236.90","assets/img/catalogo_variadores/variador-triol-at24-m20-4-sd10.png"
"37","EQU-173","TRIOL","AT24-M20-4-UC10","3","30,236.900","90,710.70","assets/img/catalogo_variadores/variador-triol-at24-m20-4-uc10.png"
"38","EQU-174","TRIOL","AT24-M20-4-UH10","4","33,071.600","132,286.40","assets/img/catalogo_variadores/variador-triol-at24-m20-4-uh10.png"
