"modelo","codigo","fuente","salida"
"AT24-55K-4-UH10","EQU-155","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-55k-4-uh10.png"
"AT24-75K-4-UC00","EQU-156","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-75k-4-uc00.png"
"AT24-75K-4-UH00","EQU-157","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-75k-4-uh00.png"
"AT24-75K-4-UH01","EQU-158","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-75k-4-uh01.png"
"AT24-7K5-4-UC-01","EQU-159","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-7k5-4-uc-01.png"
"AT24-7K5-4-UH-01","EQU-160","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-7k5-4-uh-01.png"
"AT24-90K-4-UC10","EQU-161","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-90k-4-uc10.png"
"AT24-90K-4-UH10","EQU-162","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-90k-4-uh10.png"
"AT24-M11-4-SD10","EQU-163","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\SD\SD_фронт.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m11-4-sd10.png"
"AT24-M11-4-UC10","EQU-164","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m11-4-uc10.png"
"AT24-M11-4-UH10","EQU-165","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m11-4-uh10.png"
"AT24-M13-4-SD10","EQU-166","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\SD\SD_фронт.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m13-4-sd10.png"
"AT24-M13-4-UC10","EQU-167","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m13-4-uc10.png"
"AT24-M13-4-UH10","EQU-168","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m13-4-uh10.png"
"AT24-M16-4-SD10","EQU-169","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\SD\SD_фронт.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m16-4-sd10.png"
"AT24-M16-4-UC10","EQU-170","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m16-4-uc10.png"
"AT24-M16-4-UH10","EQU-171","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m16-4-uh10.png"
"AT24-M20-4-SD10","EQU-172","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\SD\SD_фронт.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m20-4-sd10.png"
"AT24-M20-4-UC10","EQU-173","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UC\UC-front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m20-4-uc10.png"
"AT24-M20-4-UH10","EQU-174","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\FOTOS VARIADORES\FOTOS VARIADORES\AT24 RENDER\UH\UH_front.png","c:\Users\itvms\Downloads\WEB VMS\vms_energy_prototipo__24.0\assets\img\catalogo_variadores\variador-triol-at24-m20-4-uh10.png"
